,CensusTractNumber,White (% of total population),Married With Children (% of households),Nonfamily Households with Children Under 18 (% of all households),Median Household Income ($),Completed High School or High School and Some College (% of adults 25+),Unemployed (% ages 16 and older),Housing Units Occupied by Renters (%),U.S.-Born (% of total population),Elderly Population (% 65+)
119,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
120,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
121,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
122,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
123,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
124,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
125,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
126,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
127,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
128,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
129,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
130,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
131,36005002400.0,46.15384615,0.0,0.0,-666666666.0,32.69230769,0.0,100.0,46.15384615,0.0
132,36005002400.0,46.15384615,0.0,0.0,-666666666.0,32.69230769,0.0,100.0,46.15384615,0.0
133,36005002500.0,2.447916667,12.8042328,0.0,22771.0,44.60473168,3.763963089,95.66137566,65.95486111,8.506944444
134,36005002500.0,2.447916667,12.8042328,0.0,22771.0,44.60473168,3.763963089,95.66137566,65.95486111,8.506944444
135,36005002500.0,2.447916667,12.8042328,0.0,22771.0,44.60473168,3.763963089,95.66137566,65.95486111,8.506944444
136,36005002500.0,2.447916667,12.8042328,0.0,22771.0,44.60473168,3.763963089,95.66137566,65.95486111,8.506944444
137,36005002500.0,2.447916667,12.8042328,0.0,22771.0,44.60473168,3.763963089,95.66137566,65.95486111,8.506944444
138,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
139,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
140,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
141,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
142,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
143,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
144,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
145,36005002701.0,0.0,9.537299339,0.0,17383.0,47.89750329,5.891315389,100.0,74.64503043,8.350236646
146,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
147,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
148,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
149,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
150,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
151,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
152,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
153,36005003500.0,0.261711594,21.23493976,0.0,31638.0,42.06593407,5.241482591,92.54518072,72.46794033,11.54148129
154,36005003800.0,0.974251914,19.45812808,0.0,36667.0,69.04522613,9.592760181,72.4137931,86.15170494,12.94363257
155,36005003800.0,0.974251914,19.45812808,0.0,36667.0,69.04522613,9.592760181,72.4137931,86.15170494,12.94363257
156,36005003900.0,6.843812761,17.01913394,1.10775428,30357.0,43.61730013,5.561234921,94.71299094,60.60559246,6.998300633
157,36005003900.0,6.843812761,17.01913394,1.10775428,30357.0,43.61730013,5.561234921,94.71299094,60.60559246,6.998300633
158,36005003900.0,6.843812761,17.01913394,1.10775428,30357.0,43.61730013,5.561234921,94.71299094,60.60559246,6.998300633
159,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
160,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
161,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
162,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
163,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
164,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
165,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
166,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
167,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
168,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
169,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
170,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
171,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
172,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
173,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
174,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
175,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
176,36005004100.0,1.631348806,4.630541872,0.0,20137.0,50.29469548,5.357142857,92.16748768,75.21022536,9.569458459
177,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
178,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
179,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
180,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
181,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
182,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
183,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
184,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
185,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
186,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
187,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
188,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
189,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
190,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
191,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
192,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
